project,method,precision_p_value,precision_cliff_delta,precision_effect_size,precision_method,precision_noisy,precision_percent,recall_p_value,recall_cliff_delta,recall_effect_size,recall_method,recall_noisy,recall_percent,f1_p_value,f1_cliff_delta,f1_effect_size,f1_method,f1_noisy,f1_percent,AUC_p_value,AUC_cliff_delta,AUC_effect_size,AUC_method,AUC_noisy,AUC_percent,MCC_p_value,MCC_cliff_delta,MCC_effect_size,MCC_method,MCC_noisy,MCC_percent,G-Mean_p_value,G-Mean_cliff_delta,G-Mean_effect_size,G-Mean_method,G-Mean_noisy,G-Mean_percent
httpclient,SAT,3.3520175064848715e-08,-1.0,large,0.38,0.46,0.83,3.469661676157125e-08,1.0,large,0.98,0.79,1.24,6.895396827673563e-07,-0.794375,large,0.55,0.59,0.94,3.423151113345613e-08,-1.0,large,0.51,0.62,0.83,3.546733934213521e-08,-0.983125,large,0.06,0.24,0.25,3.554271352232285e-08,-1.0,large,0.18,0.59,0.31
jackrabbit,SAT,1.4542728947461076e-06,0.685625,large,0.61,0.59,1.03,4.054079722834212e-07,-0.778125,large,0.74,0.78,0.94,0.0709096426284756,-0.21125,small,0.67,0.67,0.99,0.7016176770480902,0.0575,negligible,0.71,0.71,1.0,0.6073805326973396,0.045,negligible,0.41,0.41,1.01,0.08440340542071614,0.189375,small,0.71,0.7,1.01
lucene,SAT,0.29175044317584786,-0.11,negligible,0.5,0.51,0.99,3.53295161776705e-08,-1.0,large,0.42,0.65,0.64,3.529200939163127e-08,-0.99875,large,0.46,0.57,0.8,3.415857399402544e-08,-0.985625,large,0.62,0.69,0.9,7.625226962214092e-08,-0.94875,large,0.25,0.35,0.71,3.4906472758996035e-08,-0.998125,large,0.59,0.69,0.85
all,SAT,5.757695644311411e-05,0.505,large,0.59,0.57,1.03,4.5490569453385694e-06,-0.666875,large,0.75,0.79,0.96,0.8773309342396722,-0.038125,negligible,0.66,0.66,1.0,0.7365667574949315,-0.01,negligible,0.74,0.73,1.0,0.6102938298162344,-0.013125,negligible,0.45,0.45,1.0,0.40220553496218414,0.0325,negligible,0.73,0.73,1.0
httpclient,COTEACHING_PLUS,1.3760825829058422e-06,-0.6775,large,0.43,0.46,0.92,0.23856384340209802,0.30625,small,0.8,0.79,1.02,0.00020670858690759487,-0.57375,large,0.55,0.59,0.94,3.301717088644013e-06,-0.74,large,0.57,0.62,0.92,7.41327970969161e-06,-0.71,large,0.16,0.24,0.67,1.7523337386317686e-06,-0.65875,large,0.49,0.59,0.83
jackrabbit,COTEACHING_PLUS,0.7066379701564474,-0.0825,negligible,0.59,0.59,0.99,0.02758626100632794,-0.245,small,0.7,0.78,0.9,0.007493370155202646,-0.29625,small,0.63,0.67,0.93,0.007451924000768741,-0.32125,small,0.68,0.71,0.97,0.00550755529192877,-0.33625,medium,0.37,0.41,0.9,0.005537363271231305,-0.3175,small,0.67,0.7,0.95
lucene,COTEACHING_PLUS,0.0009299064798981785,-0.47625,large,0.48,0.51,0.95,0.0027478421465869014,-0.41875,medium,0.59,0.65,0.9,0.00010119608894983014,-0.54375,large,0.52,0.57,0.91,8.985608983016311e-05,-0.54875,large,0.65,0.69,0.95,6.990934051211556e-05,-0.5375,large,0.3,0.35,0.84,7.097033102290236e-05,-0.545,large,0.64,0.69,0.94
all,COTEACHING_PLUS,0.07354951776894877,-0.30125,small,0.54,0.57,0.93,0.31149279969361165,-0.075,negligible,0.73,0.79,0.93,0.005274441290410345,-0.30875,small,0.61,0.66,0.93,0.0051919366911400795,-0.3025,small,0.71,0.73,0.97,0.008599963870405571,-0.2925,small,0.41,0.45,0.9,0.0017112030753849347,-0.3775,medium,0.68,0.73,0.93
httpclient,CORES,0.001916179840317196,0.43,medium,0.49,0.46,1.05,0.1968892658390241,0.1825,small,0.8,0.79,1.01,0.01941945967772449,0.37375,medium,0.6,0.59,1.03,0.0033692377763306597,0.42125,medium,0.64,0.62,1.04,0.0005809193921380797,0.4875,large,0.29,0.24,1.23,0.06738694483731517,0.26625,small,0.61,0.59,1.04
jackrabbit,CORES,5.4520980124280435e-05,-0.4775,large,0.58,0.59,0.98,0.921291958034818,0.035,negligible,0.79,0.78,1.01,0.01819438670466791,-0.28375,small,0.67,0.67,0.99,0.00012598530161219418,-0.42625,medium,0.7,0.71,0.99,0.0003522337652431562,-0.44375,medium,0.39,0.41,0.95,0.00011688325596625976,-0.46125,medium,0.69,0.7,0.98
lucene,CORES,0.35309344063970105,-0.10375,negligible,0.5,0.51,1.0,0.0012360962283483668,0.5025,large,0.68,0.65,1.04,0.11716500100744036,0.215,small,0.58,0.57,1.01,0.09240026920386549,0.205,small,0.69,0.69,1.01,0.25711194891849964,0.12125,negligible,0.36,0.35,1.02,0.14908991682757916,0.19625,small,0.69,0.69,1.01
all,CORES,0.14371679555358782,0.21375,small,0.59,0.57,1.02,0.9398321456217035,0.2025,small,0.77,0.79,0.98,0.07819551762376305,0.24125,small,0.66,0.66,0.99,0.03811156197776156,0.25875,small,0.74,0.73,1.0,0.01000484448308502,0.325,small,0.46,0.45,1.01,0.13365700338955647,0.2375,small,0.73,0.73,1.0
httpclient,COTEACHING,0.0002332293340495912,-0.618125,large,0.44,0.46,0.94,0.0002760294252654072,0.58625,large,0.86,0.79,1.09,0.04088142668718442,-0.2725,small,0.57,0.59,0.98,8.220168368671658e-05,-0.576875,large,0.58,0.62,0.94,0.003758350950244821,-0.404375,medium,0.19,0.24,0.82,3.328272169487474e-06,-0.7,large,0.48,0.59,0.82
jackrabbit,COTEACHING,2.3321230694719094e-06,0.719375,large,0.61,0.59,1.04,0.14115220833181477,0.22625,small,0.79,0.78,1.01,7.222739057127622e-05,0.62125,large,0.69,0.67,1.03,8.79995838796226e-06,0.681875,large,0.73,0.71,1.03,2.8020008262304745e-06,0.72875,large,0.45,0.41,1.1,2.9325519124205097e-06,0.71125,large,0.72,0.7,1.03
lucene,COTEACHING,0.2688810257744577,-0.15,small,0.5,0.51,0.99,0.0005761904001650865,-0.513125,large,0.61,0.65,0.94,0.003038980307984477,-0.4175,medium,0.55,0.57,0.97,0.006174774308422386,-0.385625,medium,0.67,0.69,0.98,0.008615399405197774,-0.388125,medium,0.33,0.35,0.93,0.0025088457912263566,-0.438125,medium,0.67,0.69,0.97
all,COTEACHING,0.00272118112745784,0.405,medium,0.59,0.57,1.03,0.06694198161016868,0.306875,small,0.8,0.79,1.02,0.00010627998874030609,0.549375,large,0.68,0.66,1.02,2.3297558436970386e-05,0.559375,large,0.75,0.73,1.02,2.908728774945469e-06,0.600625,large,0.48,0.45,1.06,4.9284863542305836e-05,0.506875,large,0.75,0.73,1.02
